10	20
10.5	20
11	20
11.5	20
12	20
12.5	20
13	20
13.5	20
14	20
14.5	20
15	20
15.5	20
16	20
16.5	20
17	20
17.5	20
18	20
18.5	20
19	20
19.5	20
20	20
20.5	20
21	20
21.5	20
22	20
22.5	20
23	20
23.5	20
24	35
24.5	45
25	60
25.5	45
26	35
26.5	20
27	20
27.5	20
28	20
28.5	20
29	20
29.5	20
30	20
30.5	20
31	20
31.5	20
32	20
32.5	20
33	20
33.5	20
34	20
34.5	20
35	20
35.5	20
36	20
36.5	20
37	20
37.5	20
38	20
38.5	20
39	20
39.5	20
40	20
40.5	20
41	20
41.5	20
42	20
42.5	20
43	20
43.5	20
44	20
44.5	20
45	20
45.5	20
46	20
46.5	20
47	20
47.5	20
48	20
48.5	20
49	35
49.5	45
50	60
50.5	45
51	35
51.5	20
52	20
52.5	20
53	20
53.5	20
54	20
54.5	20
55	20
55.5	20
56	20
56.5	20
57	20
57.5	20
58	20
58.5	20
59	20
59.5	20
60	20
60.5	20
61	20
61.5	20
62	20
62.5	20
63	20
63.5	20
64	20
64.5	20
65	20
65.5	20
66	20
66.5	20
67	20
67.5	20
68	20
68.5	20
69	20
69.5	20
70	20
70.5	20
71	20
71.5	20
72	20
72.5	20
73	20
73.5	20
74	35
74.5	45
75	60
75.5	45
76	35
76.5	20
77	20
77.5	20
78	20
78.5	20
79	20
79.5	20
80	20
80.5	20
81	20
81.5	20
82	20
82.5	20
83	20
83.5	20
84	20
84.5	20
85	20
85.5	20
86	20
86.5	20
87	20
87.5	20
88	20
88.5	20
89	20
89.5	20
90	20
90.5	20
91	20
91.5	20
92	20
92.5	20
93	20
93.5	20
94	20
94.5	20
95	20
95.5	20
96	20
96.5	20
97	20
97.5	20
98	20
98.5	20
99	20
99.5	20
100	20
